project,timestamp,ntasks,nchunks,nfound,seconds
wescon-tools,2026-06-30 16:19:23.654,18,1,18,0.099
wescon-tools,2026-06-30 16:19:35.108,1465,2,1465,10.198
wescon-tools,2026-06-30 16:19:35.431,18,1,18,0.151
wescon-tools,2026-06-30 16:19:35.500,18,1,18,0.064
wescon-tools,2026-06-30 16:19:35.999,216,1,216,0.474
wescon-tools,2026-06-30 16:19:36.117,36,1,36,0.097
wescon-tools,2026-06-30 16:19:36.148,2,1,2,0.023
wescon-tools,2026-06-30 16:19:38.134,774,1,774,1.981
wescon-tools,2026-06-30 16:19:40.239,774,1,774,2.103
wescon-tools,2026-06-30 16:19:40.283,18,1,18,0.043
wescon-tools,2026-06-30 16:19:45.992,1465,2,1465,5.076
wescon-tools,2026-06-30 16:19:46.180,18,1,18,0.089
wescon-tools,2026-06-30 16:19:46.273,18,1,18,0.091
wescon-tools,2026-06-30 16:19:46.733,216,1,216,0.459
wescon-tools,2026-06-30 16:19:46.833,36,1,36,0.100
wescon-tools,2026-06-30 16:19:46.855,2,1,2,0.021
wescon-tools,2026-06-30 16:30:18.161,774,1,774,1.495
